"id","basket_value","recency_days","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","low_value_basket","medium_value_basket","high_value_basket","Cluster","cluster1","cluster2","cluster3","cluster4","cluster5"
1557,4.9,40,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1558,6.4,23,"no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1559,10.5,75,"no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1560,2.9,41,"no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1562,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1563,2.2,69,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1564,3.5,32,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1565,2.5,56,"yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1566,7.8,8,"no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1567,7.7,10,"yes","yes","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1568,1.7,52,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
1569,4.6,28,"no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
1570,10,15,"no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes",1,"yes",no,no,no,no
1572,1.5,58,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1574,4.9,37,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1575,4.6,29,"no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1576,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1578,11.7,75,"no","no","yes","no","no","no","no","yes","yes","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1580,6.3,75,"no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1581,9,75,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1584,5.1,37,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1586,1.5,74,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1588,2.2,69,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1589,5.8,75,"no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no",4,no,no,no,"yes",no
1590,7.4,7,"yes","no","yes","yes","yes","no","no","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1591,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1592,9.3,9,"yes","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1593,2.9,40,"no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1594,11.5,21,"no","no","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
1597,3.1,46,"no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1598,5.3,65,"no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no",4,no,no,no,"yes",no
1600,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1601,5.1,41,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1603,3.5,46,"no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1604,2.5,53,"yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1605,3.9,35,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1606,1.6,63,"no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no",4,no,no,no,"yes",no
1607,6.3,23,"no","yes","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
1608,3.4,39,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1609,1.7,55,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
1610,2.2,60,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1611,7.4,9,"no","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1612,2.1,52,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1613,13.7,10,"no","yes","yes","no","yes","no","no","no","yes","yes","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1615,7.7,75,"no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1616,5.3,68,"no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1617,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1618,1.7,51,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
1619,2.2,68,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1620,6.3,75,"no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1621,6.2,25,"no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1622,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1623,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1624,7.1,7,"no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1625,3.9,27,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",1,"yes",no,no,no,no
1626,3.1,38,"no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1627,4.1,75,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1628,1.7,68,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
1629,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1631,1.7,64,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
1633,3.7,39,"no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1635,3.1,27,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
1636,4.9,33,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1638,3.8,31,"no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1639,3.6,39,"yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1641,3.4,50,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1643,2.1,66,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1648,2.2,68,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1649,4.1,75,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1650,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1651,4.3,44,"no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no",3,no,no,"yes",no,no
1652,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1653,3.7,50,"no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1654,7.8,14,"no","no","yes","yes","yes","no","no","yes","no","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
1655,4.1,75,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1657,4.9,33,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1658,6.6,7,"no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1659,9.5,13,"yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1660,2.2,60,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1661,2.5,68,"no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1662,6.2,16,"no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1663,3.4,49,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1664,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1665,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1666,5.2,61,"no","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","yes","no",2,no,"yes",no,no,no
1667,2.7,75,"no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1668,6.2,23,"yes","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1669,3.9,40,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1670,1.7,58,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
1671,4.1,39,"no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1672,3.4,34,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1673,1.5,65,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1674,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1676,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1678,2.5,71,"no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1679,6.8,4,"no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1680,8.7,8,"no","yes","no","yes","yes","no","no","yes","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1681,2.2,62,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1682,3.6,37,"yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1683,10.2,26,"no","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
1684,5.1,42,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1685,2.1,52,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1686,3.6,37,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1687,12.1,11,"no","yes","yes","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1688,10.7,12,"yes","yes","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1689,8.8,13,"no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1690,3.9,39,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1692,3.8,41,"no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1693,8.5,18,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1694,11.9,11,"yes","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1695,10.5,75,"no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1696,4.7,50,"no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1697,3.9,30,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1698,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1699,2.2,52,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1702,4.7,44,"no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1704,2.4,74,"yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1705,5.3,75,"no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1706,10.1,18,"no","no","no","yes","yes","no","no","no","yes","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
1707,6.2,16,"no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1708,3.9,33,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1709,1.6,52,"no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no",2,no,"yes",no,no,no
1710,7.7,24,"no","no","yes","no","no","no","no","no","yes","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
1711,10.5,8,"no","no","yes","yes","no","no","no","yes","yes","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1713,14.8,75,"no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","yes",4,no,no,no,"yes",no
1714,1.1,2,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1715,3.1,41,"no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1717,16.1,26,"no","yes","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1718,13.6,3,"yes","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1719,6.7,9,"no","no","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1720,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1721,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1722,14.6,75,"no","no","yes","yes","no","no","no","yes","yes","yes","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1723,2.2,70,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1724,2.2,69,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1725,9.8,2,"no","no","yes","no","yes","no","no","yes","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1726,6.3,22,"no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1727,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1728,3.1,45,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1730,1.7,72,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
1735,3.1,49,"no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1736,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1737,5.8,75,"no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no",4,no,no,no,"yes",no
1739,5.5,75,"no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1740,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1743,10.5,75,"no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1744,1.7,63,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
1745,3.9,34,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1747,2.2,59,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1751,2.7,68,"no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1754,12.2,2,"no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1755,1.7,75,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
1756,5.4,75,"no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1757,4.1,75,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1758,4.5,42,"yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1760,3.9,34,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1763,7.4,26,"no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
1764,3.1,40,"no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1765,8.3,24,"no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1766,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1767,3.5,33,"no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1770,2.4,70,"yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1771,1.1,2,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1772,1.7,57,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
1773,6.4,1,"no","yes","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1774,15.4,75,"no","no","yes","yes","yes","no","no","yes","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1775,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1777,5.9,19,"yes","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",1,"yes",no,no,no,no
1778,2.2,51,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1780,4.5,37,"yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1781,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1782,2.1,53,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1784,7.9,75,"no","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes",4,no,no,no,"yes",no
1785,4.1,75,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1786,6.1,18,"no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1787,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1788,4.9,38,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1789,4.1,75,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1790,3.4,32,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1791,6.1,7,"no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1792,5.8,75,"no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no",4,no,no,no,"yes",no
1793,1.7,58,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
1794,4.7,50,"no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1795,2.6,59,"no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
1797,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1798,7.4,19,"yes","yes","yes","no","no","no","yes","no","no","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
1799,4.6,41,"no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1800,5.1,36,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1801,3.5,33,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1802,4.9,41,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1803,8.6,15,"no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1806,13,10,"no","no","no","yes","yes","no","yes","yes","yes","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1808,3.2,45,"no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
1809,2.2,63,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1810,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1812,2.1,71,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1813,8.7,8,"no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1814,3.3,37,"yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1815,8.6,9,"no","yes","yes","no","yes","no","no","yes","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1816,2.5,69,"yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1817,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1818,1.7,68,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
1819,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1821,2.2,67,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1823,2.9,34,"no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1824,15.6,75,"no","no","yes","no","yes","no","yes","no","no","yes","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1825,8.9,11,"no","yes","no","no","yes","no","yes","yes","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1826,2.8,27,"no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no",1,"yes",no,no,no,no
1827,14.9,75,"yes","no","no","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1829,2.1,59,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1830,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1831,7.5,75,"no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
1832,1.1,2,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1833,10,8,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1834,1.7,68,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
1835,5.1,38,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1836,7.2,3,"no","no","yes","no","no","yes","yes","yes","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1837,5.4,68,"yes","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no",4,no,no,no,"yes",no
1839,5.7,75,"no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no",4,no,no,no,"yes",no
1840,1.6,66,"no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no",4,no,no,no,"yes",no
1841,2.5,67,"no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
1842,2.1,60,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
1843,3,48,"no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no",2,no,"yes",no,no,no
1844,4.7,35,"yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1846,9.2,11,"no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
1847,4.8,28,"no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
1849,1.6,58,"no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no",2,no,"yes",no,no,no
1850,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
1851,8.3,7,"no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
1853,3.3,28,"no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
1854,4,34,"no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
1856,2.2,64,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
1857,6.1,15,"no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
1858,1.7,60,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
