"id","basket_value","recency_days","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","low_value_basket","medium_value_basket","high_value_basket"
1978,1.7,57,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
1979,1.6,69,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
1981,6.8,4,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes"
1983,5.2,53,no,"yes",no,no,no,no,"yes",no,no,no,no,"yes",no,no,"yes",no
1985,3.1,31,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no
1986,5.1,41,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
1988,2.8,27,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes",no
1989,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
1990,1.6,66,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
1991,5.7,69,no,no,"yes","yes",no,no,no,"yes",no,no,no,"yes",no,no,"yes",no
1992,12.8,23,"yes",no,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,"yes"
1993,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
1994,6.5,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes"
1995,9.4,3,no,no,"yes",no,no,no,no,"yes",no,"yes",no,no,no,no,no,"yes"
1997,6.3,26,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes"
1998,9.9,1,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes"
1999,1.5,70,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
2000,6.6,23,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,"yes"
2001,2.2,72,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2002,3,35,no,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,"yes",no
2003,5.4,75,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,"yes",no
2004,3.3,40,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no,"yes",no
2005,9.1,12,no,no,"yes","yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes"
2006,4.1,75,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
2007,3,38,no,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,"yes",no
2008,5.4,75,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,"yes",no
2009,9.9,75,"yes","yes","yes",no,no,no,"yes",no,no,no,"yes",no,no,no,no,"yes"
2011,5.5,71,"yes",no,no,"yes",no,no,"yes",no,no,no,no,"yes",no,no,"yes",no
2012,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2013,3.1,27,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no
2014,2.4,54,"yes",no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2015,2.8,27,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes",no
2016,11.1,13,no,no,no,no,no,no,"yes","yes","yes","yes",no,"yes",no,no,no,"yes"
2017,1.6,53,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
2018,9.4,11,no,no,no,"yes",no,no,no,"yes","yes",no,no,"yes",no,no,no,"yes"
2019,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
2020,5.3,53,no,"yes",no,no,no,no,no,"yes",no,no,no,"yes",no,no,"yes",no
2021,6.4,23,no,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes"
2022,10.9,23,no,no,"yes",no,no,"yes",no,"yes",no,no,no,no,no,no,no,"yes"
2023,1.7,70,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2024,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
2025,2.6,55,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
2026,12.5,75,no,no,no,no,no,no,no,no,no,"yes","yes","yes",no,no,no,"yes"
2027,4.5,34,"yes","yes",no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2029,1.7,69,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2030,2.1,59,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
2035,6.1,4,no,no,no,"yes",no,no,no,"yes",no,"yes",no,"yes",no,no,no,"yes"
2036,9.6,24,"yes",no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,"yes"
2037,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
2040,8.4,75,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,no,"yes"
2041,5.7,58,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
2043,7.7,6,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,no,"yes"
2045,3.1,38,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2047,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2048,10.4,75,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,no,"yes"
2051,6.7,7,no,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes"
2052,15.3,18,"yes",no,no,"yes",no,no,"yes","yes","yes",no,no,no,no,no,no,"yes"
2054,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2055,12.5,24,no,no,"yes","yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes"
2056,2.5,67,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2057,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
2058,4.9,29,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
2059,3.1,50,no,no,no,no,no,no,no,"yes",no,"yes",no,no,no,no,"yes",no
2060,2.8,27,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes",no
2061,2.3,73,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no
2062,1.7,67,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2063,14,75,no,no,no,no,"yes","yes","yes","yes",no,no,"yes","yes",no,no,no,"yes"
2064,4,49,no,no,"yes","yes",no,no,no,"yes",no,no,no,no,no,no,"yes",no
2068,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2070,5.5,75,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no,no,"yes",no
2071,2.9,39,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
2072,4.8,32,no,"yes","yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
2073,3.1,43,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no
2074,8.4,75,"yes",no,no,no,no,no,no,"yes",no,no,"yes","yes",no,no,no,"yes"
2076,8.2,11,no,no,no,no,no,no,"yes",no,no,no,no,"yes",no,no,no,"yes"
2077,8.4,75,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,no,"yes"
2079,4.1,75,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
2080,9,75,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no,no,no,"yes"
2081,7.5,2,no,no,"yes",no,no,"yes",no,"yes",no,no,no,"yes",no,no,no,"yes"
2083,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2084,8.2,14,no,no,no,no,no,no,no,no,"yes","yes",no,"yes",no,no,no,"yes"
2085,4.8,48,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no,"yes",no
2086,7.4,20,no,no,"yes",no,no,"yes","yes",no,no,no,no,"yes",no,no,no,"yes"
2088,7.5,25,no,no,"yes",no,no,no,"yes",no,"yes",no,no,no,no,no,no,"yes"
2089,15.7,5,no,no,"yes","yes",no,no,no,"yes","yes",no,no,"yes",no,no,no,"yes"
2090,19.9,75,no,no,no,"yes",no,no,"yes","yes","yes","yes","yes",no,no,no,no,"yes"
2091,7.1,24,no,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
2093,3.1,48,no,no,no,no,no,no,no,"yes",no,"yes",no,no,no,no,"yes",no
2094,2.3,67,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no
2095,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2096,2.9,47,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
2097,6.6,26,no,no,no,no,no,no,no,"yes",no,no,no,no,no,no,no,"yes"
2098,3.9,50,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,"yes",no
2099,6.7,10,"yes","yes",no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes"
2100,3.7,44,"yes",no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
2101,9.4,18,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes"
2103,2.2,66,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2104,8.8,25,no,no,no,no,"yes",no,no,no,"yes",no,no,"yes",no,no,no,"yes"
2106,2.5,60,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2107,3.9,36,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,"yes",no
2108,8.7,75,no,"yes","yes","yes",no,no,no,no,no,no,"yes",no,no,no,no,"yes"
2110,7.1,8,no,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
2111,5.8,75,no,no,no,no,no,no,no,no,no,no,"yes","yes",no,no,"yes",no
2113,2.2,55,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2116,5.8,75,no,no,no,no,no,no,no,no,no,no,"yes","yes",no,no,"yes",no
2117,2.2,55,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2118,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2119,2.2,63,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2120,2.2,70,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2121,7.3,4,no,no,"yes","yes",no,"yes",no,no,no,no,no,"yes",no,no,no,"yes"
2122,11,17,no,"yes","yes","yes",no,no,no,"yes","yes",no,no,no,no,no,no,"yes"
2124,6.2,20,no,no,"yes","yes","yes",no,no,"yes",no,no,no,no,no,no,no,"yes"
2125,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
2126,4.5,44,no,no,no,no,no,"yes","yes",no,no,no,no,no,no,no,"yes",no
2127,2.2,64,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2128,1.7,71,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2129,1.7,51,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2130,1.6,52,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
2131,6.5,21,no,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,"yes"
2132,6.3,75,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no,no,no,"yes"
2133,4.6,48,no,"yes","yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2134,13.7,75,"yes",no,"yes",no,"yes",no,no,no,no,no,"yes",no,no,no,no,"yes"
2135,3.5,27,no,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,"yes",no
2136,6.4,8,no,no,"yes","yes","yes",no,no,no,no,no,no,"yes",no,no,no,"yes"
2138,7.9,10,no,no,no,"yes",no,no,no,no,"yes",no,no,"yes",no,no,no,"yes"
2139,8.6,24,no,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes"
2140,4.9,44,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
2141,1.7,67,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2144,2.7,60,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
2145,7.2,75,no,no,no,no,no,"yes",no,no,no,no,"yes",no,no,no,no,"yes"
2146,5.1,46,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2147,1.7,70,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2148,6.1,18,no,no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
2149,4.1,27,no,no,"yes",no,no,no,"yes","yes",no,no,no,no,no,no,"yes",no
2150,1.7,55,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2151,1.7,58,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2152,4.8,35,"yes",no,no,no,"yes",no,no,"yes",no,no,no,no,no,no,"yes",no
2153,5.1,50,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2154,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
2155,3.1,27,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no
2156,5.1,36,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2157,2.9,32,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
2158,6.5,24,no,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,"yes"
2161,4.9,44,no,"yes",no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes",no
2162,3.4,51,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2163,4.1,75,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
2166,6.8,7,no,"yes","yes","yes","yes",no,no,no,no,no,no,no,no,no,no,"yes"
2168,2.2,56,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2169,6.2,23,no,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes"
2170,12.7,4,"yes","yes",no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,"yes"
2171,3.4,30,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2172,4.2,40,no,no,"yes",no,no,no,"yes",no,no,"yes",no,no,no,no,"yes",no
2173,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2174,2.2,64,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2176,6,9,"yes",no,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
2177,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2178,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2180,4.8,48,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
2181,1.7,71,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2183,1.7,54,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2184,8.4,9,no,no,no,"yes","yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
2185,2.2,75,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2186,15.6,75,no,no,no,"yes","yes",no,"yes",no,"yes",no,"yes","yes",no,no,no,"yes"
2187,10.3,26,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes"
2188,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2189,2.7,51,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
2191,1.7,64,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2192,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2194,4.1,75,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
2195,12,1,no,"yes","yes",no,"yes",no,"yes",no,no,no,no,no,no,no,no,"yes"
2196,2.2,59,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2197,8.6,23,no,"yes","yes",no,"yes",no,"yes",no,no,no,no,"yes",no,no,no,"yes"
2198,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
2199,10.4,16,"yes",no,no,"yes",no,no,no,"yes","yes","yes",no,no,no,no,no,"yes"
2200,2.2,52,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2202,2.2,61,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2203,2.1,70,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
2204,3,36,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,no,"yes",no
2205,3.5,38,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
2206,6.3,15,"yes","yes",no,no,no,no,"yes",no,no,no,no,"yes",no,no,no,"yes"
2207,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2209,12.1,75,no,no,"yes",no,no,no,no,no,no,no,"yes","yes",no,no,no,"yes"
2210,3.6,45,no,no,no,no,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no
2211,5.1,43,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2212,7.1,74,no,no,no,"yes",no,no,no,no,no,no,"yes","yes",no,no,no,"yes"
2213,6,19,no,"yes","yes","yes",no,no,"yes",no,no,no,no,no,no,no,no,"yes"
2214,9.5,21,"yes","yes","yes","yes","yes",no,no,no,no,"yes",no,no,no,no,no,"yes"
2216,10.2,74,no,no,"yes",no,no,no,no,no,"yes",no,"yes",no,no,no,no,"yes"
2217,3.4,31,no,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,"yes",no
2218,4.4,35,no,no,no,"yes",no,no,no,"yes",no,"yes",no,no,no,no,"yes",no
2219,8.1,8,"yes","yes",no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
2220,1.7,61,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2221,1.7,74,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2222,4.1,74,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
2223,9.7,74,no,no,"yes","yes",no,"yes",no,no,no,no,"yes",no,no,no,no,"yes"
2224,10.5,6,no,no,"yes",no,no,no,"yes","yes",no,"yes",no,"yes",no,no,no,"yes"
2225,10.9,74,no,no,no,no,no,no,no,no,no,no,"yes","yes",no,no,no,"yes"
2226,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2227,8,18,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no,no,"yes"
2228,6.4,74,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,no,"yes"
2229,6.4,6,no,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes"
2230,3,26,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,no,"yes",no
2231,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2233,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2234,9.5,7,no,no,"yes",no,no,no,no,"yes",no,no,no,"yes",no,no,no,"yes"
2235,5.8,74,no,no,no,no,no,no,no,no,no,no,"yes","yes",no,no,"yes",no
2236,4.9,36,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
2237,6.6,17,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,"yes"
2240,3.2,42,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no,"yes",no
2241,8.2,3,no,"yes","yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
2243,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2244,3.9,32,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,"yes",no
2245,6.6,5,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,"yes"
2246,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2248,3,43,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,no,"yes",no
2249,1.7,54,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2250,6.6,11,no,no,no,no,no,no,no,"yes",no,no,no,no,no,no,no,"yes"
2251,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
2253,7.9,17,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,no,no,"yes"
2254,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2255,3.7,46,no,no,no,no,"yes",no,no,"yes",no,no,no,no,no,no,"yes",no
2256,4.6,27,no,"yes","yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2257,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2259,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2260,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
2261,4.8,37,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no,"yes",no
2262,11.2,3,"yes",no,no,"yes","yes",no,no,no,"yes",no,no,"yes",no,no,no,"yes"
2264,6.3,7,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes"
2265,1.5,61,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
2267,1.5,71,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
2268,3.3,47,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no,"yes",no
2269,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
2270,5.6,74,no,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,"yes",no
2271,6.7,14,no,no,no,"yes","yes",no,no,"yes",no,no,no,"yes",no,no,no,"yes"
2274,4.4,44,no,no,no,"yes",no,no,no,"yes",no,"yes",no,no,no,no,"yes",no
2276,1.5,75,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
2277,7.7,3,no,no,no,"yes",no,no,no,"yes","yes",no,no,no,no,no,no,"yes"
2278,3.1,28,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2279,4.1,74,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
2280,6.1,19,"yes","yes","yes",no,no,no,no,no,no,no,no,"yes",no,no,no,"yes"
2281,8.2,7,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes"
2282,2.2,68,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2283,5.1,33,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2284,8.2,14,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes"
2285,1.7,60,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2287,3.1,32,no,no,no,no,no,no,"yes",no,no,no,no,"yes",no,no,"yes",no
2288,1.7,73,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
2289,6.4,25,no,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes"
2290,2.7,75,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
2292,6.2,12,no,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes"
2293,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
2294,2.2,53,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2295,5.1,30,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2298,4.3,27,no,"yes",no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no
2300,7.2,8,"yes",no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
2301,7.6,13,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,no,"yes"
2302,1.5,75,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
2303,7.2,25,no,no,"yes",no,no,no,"yes","yes",no,no,no,no,no,no,no,"yes"
2304,2.9,42,no,no,no,no,no,no,"yes","yes",no,no,no,no,no,no,"yes",no
2305,5.1,45,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2306,6.3,13,no,no,"yes",no,"yes",no,"yes","yes",no,no,no,no,no,no,no,"yes"
2307,3.8,35,"yes",no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
2308,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2309,2.8,27,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
2310,2.5,59,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2313,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
2314,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2315,6.3,13,no,no,"yes",no,"yes",no,"yes","yes",no,no,no,no,no,no,no,"yes"
2316,5.7,63,"yes","yes","yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
2317,9.5,74,no,no,no,no,"yes",no,no,"yes",no,no,"yes","yes",no,no,no,"yes"
2320,7.9,9,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes"
2321,7.6,19,no,no,no,"yes",no,no,"yes",no,"yes",no,no,no,no,no,no,"yes"
2323,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
2324,13.1,18,no,no,"yes",no,"yes",no,"yes","yes",no,no,no,"yes",no,no,no,"yes"
2325,3.1,29,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no
2326,3.2,45,"yes","yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
2328,3.9,34,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,"yes",no
2329,2.6,63,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
2330,5.3,74,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
2331,5.3,74,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
2333,10.2,74,"yes",no,"yes",no,"yes",no,no,no,no,"yes","yes",no,no,no,no,"yes"
2334,1.6,53,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
2335,4.7,37,no,no,"yes","yes","yes",no,no,no,no,no,no,no,no,no,"yes",no
2336,2.7,74,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
2337,3.5,41,no,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,"yes",no
2338,3.7,33,no,no,no,no,"yes",no,no,"yes",no,no,no,no,no,no,"yes",no
2339,5.3,74,no,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no
2342,3.9,34,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,"yes",no
2344,16.8,26,no,"yes","yes",no,"yes",no,"yes","yes",no,"yes",no,"yes",no,no,no,"yes"
2345,2.6,75,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
2346,8.9,25,no,no,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,"yes"
2348,2.2,60,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
2349,5.6,57,no,no,"yes","yes",no,no,no,"yes",no,"yes",no,no,no,no,"yes",no
2350,11.7,18,no,no,no,no,"yes",no,"yes","yes","yes",no,no,"yes",no,no,no,"yes"
2351,6.3,24,no,no,no,no,no,no,"yes",no,"yes",no,no,no,no,no,no,"yes"
